,eyes,eyes,eyes,eyes,eyes,eyes,eyes,eyes,eyes,eyes,eyes,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,whole,whole,whole,whole,whole,whole,whole,whole,whole,whole,whole
,m00,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m00,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m00,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p001,0.114072783028,0.13265856146,0.173747101915,0.257163055847,0.400604489705,0.588814857738,0.764270884939,0.882807931901,0.946535771066,0.97664306838,0.989996402031,0.477775466201,0.497131446068,0.527755087404,0.572877554273,0.632846185584,0.702487214836,0.771744328421,0.830773376902,0.874822424973,0.904540212533,0.923250225161,0.150516928788,0.152127071371,0.158701154683,0.184760584351,0.277077570248,0.507157921317,0.786841172006,0.936171561844,0.983583866141,0.995958937529,0.999016244943
p002,0.220714824523,0.240941413307,0.278784295473,0.344478695311,0.444960692343,0.572352671178,0.700358651378,0.802198746508,0.869202323222,0.907951719775,0.928708722134,0.128188483642,0.155164481217,0.204462080608,0.286767637665,0.405443624472,0.54482825648,0.673995969871,0.769924751484,0.830094842129,0.863930105987,0.881796853726,0.0148228913995,0.0313732120237,0.0651159059385,0.130013440756,0.241908745103,0.402799884758,0.582648065222,0.734944809,0.836411496661,0.893673539291,0.92300056288
p003,0.361631664493,0.413743693132,0.496364628004,0.607519379441,0.728109759441,0.831901902875,0.904875949891,0.949196574296,0.973762853249,0.986693457858,0.993314630261,0.275645027988,0.317967311359,0.377246218774,0.453346916983,0.540819135472,0.62945428113,0.708506272641,0.771377757549,0.816977369442,0.847885339089,0.867885703011,0.121310972104,0.148473622773,0.20607782836,0.314863675077,0.481590864223,0.670049913941,0.821962763704,0.914431968437,0.961439539269,0.983157130786,0.992746179897
p004,0.185034622767,0.2119537126,0.256251364068,0.323604445184,0.41462423563,0.51983706014,0.621572060452,0.70430803748,0.762629365588,0.799721944215,0.821792203553,0.263881437582,0.290879205499,0.325990643262,0.369061824823,0.418264503318,0.470099653584,0.520251861144,0.564934415269,0.601911615694,0.630688205474,0.65203011521,0.101473402353,0.104889284591,0.116065100532,0.151143207312,0.24832267092,0.445069112494,0.673231155942,0.815112764285,0.872484837187,0.891540021415,0.897442532973
p005,0.0697398773639,0.0880080185351,0.121803250654,0.18107842445,0.275937341909,0.4075248217,0.557993510949,0.696337669416,0.800250832885,0.867058393308,0.905816373555,0.153824808448,0.157850680562,0.16596245616,0.18185198717,0.211323734019,0.260836682589,0.33164374348,0.412654805488,0.484729708494,0.53584861928,0.566562403449,0.0212763751817,0.0391752889569,0.0709165914026,0.124651800867,0.208846954502,0.326000171724,0.464686651303,0.600635343263,0.71136235192,0.788722001415,0.837159260089
p006,0.00245521395125,0.00739956411558,0.0220805305523,0.0640106248327,0.171593024966,0.385515340646,0.655199335965,0.851971605173,0.945747426793,0.981412456267,0.993785753615,0.156817333606,0.165265162148,0.183672759657,0.221945051699,0.294297229916,0.409363194783,0.55011880185,0.676064831564,0.760894913375,0.80768065745,0.830677942282,0.000326623050517,0.00149076522877,0.00677599133603,0.0302316670442,0.124688197339,0.394279005683,0.748389745193,0.931467033026,0.98415374895,0.996488703558,0.999229465862
p007,0.118878715153,0.135602642763,0.16596578686,0.218457167552,0.30195854197,0.41867937778,0.555448287015,0.686158932231,0.788885027216,0.85789932271,0.899517437311,0.401568956097,0.430834247358,0.472983267857,0.529510722376,0.598485739599,0.673569484872,0.745795215706,0.807462829932,0.854978449723,0.888774385293,0.911467450456,0.0546129891793,0.0613208443714,0.0774990265635,0.115191170177,0.196350681962,0.344876512404,0.550299038735,0.746650411101,0.878150015266,0.946624932787,0.977657767458
p008,0.152559125632,0.15737935889,0.17103918943,0.208130126811,0.298172151467,0.467917829935,0.67538522535,0.827867626628,0.90322127899,0.933232953301,0.944139933863,0.605536523233,0.611190341395,0.62229148639,0.643182196769,0.679528617606,0.734901630557,0.804255940484,0.872601128464,0.925756970299,0.959989345683,0.979434159191,0.22454226732,0.249870834197,0.298034785429,0.381461784737,0.505033908239,0.651351324257,0.784914310529,0.880821363119,0.938462525306,0.96947526901,0.985172490053
